type,epoch,train_loss,train_acc,valid_acc,best_valid_acc,timestamp,total_training_time
train,66,289.85962271799514,61.56%,61.00%,64.00%,2024-12-10 20:56:35,885.090017080307
train,67,289.91965184831633,63.56%,59.00%,64.00%,2024-12-10 20:56:48,898.933266878128
train,68,290.03413576282253,62.67%,63.00%,64.00%,2024-12-10 20:57:02,912.3994271755219
train,69,289.7803326228754,63.33%,60.00%,64.00%,2024-12-10 20:57:15,925.9775488376617
train,70,289.6537629599829,62.44%,60.00%,64.00%,2024-12-10 20:57:29,939.3888342380524
train,71,289.78086537033016,63.33%,58.00%,64.00%,2024-12-10 20:57:43,953.2172899246216
train,72,289.7409612178982,62.44%,62.00%,64.00%,2024-12-10 20:57:56,966.8610391616821
train,73,289.7062078891195,62.44%,63.00%,64.00%,2024-12-10 20:58:10,980.4068486690521
train,74,289.99065263548994,62.22%,57.00%,64.00%,2024-12-10 20:58:23,993.8334634304047
train,75,290.17097665724765,63.33%,62.00%,64.00%,2024-12-10 20:58:37,1007.8840441703796
train,76,290.1416508710725,61.78%,60.00%,64.00%,2024-12-10 20:58:51,1021.5065789222717
train,77,289.7490526048921,63.33%,57.00%,64.00%,2024-12-10 20:59:04,1035.0546221733093
train,78,290.1655893612827,62.00%,62.00%,64.00%,2024-12-10 20:59:18,1048.4455721378326
train,79,289.8811033551663,62.00%,60.00%,64.00%,2024-12-10 20:59:31,1061.954189300537
