type,epoch,train_loss,train_acc,valid_acc,best_valid_acc,timestamp,total_training_time
train,1,340.584775537131,50.44%,48.00%,48.00%,2024-12-10 05:04:51,36.45047998428345
train,2,313.3267503214157,54.00%,45.00%,48.00%,2024-12-10 05:05:23,68.31556487083435
train,3,312.66491527118893,54.67%,47.00%,48.00%,2024-12-10 05:05:55,100.42293095588684
train,4,311.8223063863726,54.67%,51.00%,51.00%,2024-12-10 05:06:26,132.2634789943695
train,5,310.6647337915482,56.89%,55.00%,55.00%,2024-12-10 05:06:58,164.13597893714905
train,6,308.9941409417759,58.44%,54.00%,55.00%,2024-12-10 05:07:30,195.73659372329712
train,7,306.9268035694936,59.11%,53.00%,55.00%,2024-12-10 05:08:02,227.40790176391602
train,8,304.6972997628647,60.22%,51.00%,55.00%,2024-12-10 05:08:34,259.2986989021301
train,9,302.3967954606663,60.89%,51.00%,55.00%,2024-12-10 05:09:05,291.23650598526
train,10,300.3209014227148,61.11%,58.00%,58.00%,2024-12-10 05:09:39,324.72143292427063
train,11,298.4165638803422,63.56%,60.00%,60.00%,2024-12-10 05:10:12,358.2012667655945
train,12,296.89317192842987,64.67%,62.00%,62.00%,2024-12-10 05:10:46,391.3868761062622
train,13,295.59272746993236,65.56%,63.00%,63.00%,2024-12-10 05:11:19,424.50649094581604
train,14,294.67685688502564,66.22%,63.00%,63.00%,2024-12-10 05:11:52,457.6309440135956
train,15,294.6393059424246,66.22%,62.00%,63.00%,2024-12-10 05:12:25,490.9648950099945
train,16,294.5923401546888,64.22%,62.00%,63.00%,2024-12-10 05:13:00,525.521607875824
train,17,295.4537366858397,64.22%,60.00%,63.00%,2024-12-10 05:13:33,558.7305147647858
train,18,295.6281948819704,64.22%,60.00%,63.00%,2024-12-10 05:14:06,591.8827979564667
train,19,293.17743276973783,64.67%,62.00%,63.00%,2024-12-10 05:14:40,625.8799889087677
train,20,292.9426280913305,64.67%,59.00%,63.00%,2024-12-10 05:15:13,659.1542639732361
train,21,294.172526358211,64.89%,61.00%,63.00%,2024-12-10 05:15:47,692.4323439598083
train,22,293.82985899328287,64.22%,63.00%,63.00%,2024-12-10 05:16:20,725.7340469360352
train,23,293.7135680541146,64.00%,59.00%,63.00%,2024-12-10 05:16:53,759.1784780025482
train,24,292.9094835452247,63.78%,60.00%,63.00%,2024-12-10 05:17:26,792.2776198387146
train,25,292.8405864713157,64.00%,56.00%,63.00%,2024-12-10 05:18:00,825.500482082367
train,26,292.13677530861844,62.89%,55.00%,63.00%,2024-12-10 05:18:33,859.2946050167084
train,27,292.14837030511734,62.89%,57.00%,63.00%,2024-12-10 05:19:07,892.4378349781036
train,28,291.80905397090424,63.78%,57.00%,63.00%,2024-12-10 05:19:42,927.4808719158173
train,29,292.28907983541654,62.89%,58.00%,63.00%,2024-12-10 05:20:15,960.7937121391296
train,30,292.82608477866637,63.56%,58.00%,63.00%,2024-12-10 05:20:49,994.5622539520264
train,31,292.4416521225866,63.56%,58.00%,63.00%,2024-12-10 05:21:22,1028.030967950821
train,32,292.00088207922937,63.11%,60.00%,63.00%,2024-12-10 05:21:56,1062.066192150116
train,33,291.67785549228176,61.78%,58.00%,63.00%,2024-12-10 05:22:30,1095.327693939209
train,34,291.96625859321017,63.11%,54.00%,63.00%,2024-12-10 05:23:03,1128.5295128822327
train,35,291.8756651304567,62.89%,57.00%,63.00%,2024-12-10 05:23:37,1162.3614239692688
train,36,291.985424345803,63.11%,61.00%,63.00%,2024-12-10 05:24:10,1196.2673001289368
train,37,291.2685024010129,60.89%,57.00%,63.00%,2024-12-10 05:24:45,1231.0160448551178
train,38,290.97091555153344,62.67%,61.00%,63.00%,2024-12-10 05:25:18,1263.977490901947
train,39,290.8928124509947,62.67%,57.00%,63.00%,2024-12-10 05:25:51,1297.0539481639862
train,40,290.84554700894654,62.00%,58.00%,63.00%,2024-12-10 05:26:24,1329.9837548732758
train,41,290.9776276143064,62.00%,58.00%,63.00%,2024-12-10 05:26:57,1362.8706638813019
train,42,290.9807164517269,61.11%,57.00%,63.00%,2024-12-10 05:27:30,1395.8513069152832
train,43,290.8633827783343,62.00%,55.00%,63.00%,2024-12-10 05:28:03,1428.9456701278687
train,44,290.8731725956108,61.56%,56.00%,63.00%,2024-12-10 05:28:37,1462.3142349720001
train,45,290.9630102329739,61.78%,54.00%,63.00%,2024-12-10 05:29:10,1495.6699759960175
train,46,291.1955264433586,62.89%,55.00%,63.00%,2024-12-10 05:29:42,1527.4720659255981
train,47,290.7917363524153,62.44%,55.00%,63.00%,2024-12-10 05:30:13,1558.6841080188751
train,48,290.62077849498314,61.56%,57.00%,63.00%,2024-12-10 05:30:48,1593.4471900463104
train,49,290.91760966878326,62.44%,56.00%,63.00%,2024-12-10 05:31:23,1628.3797810077667
train,50,291.3023888317479,61.33%,55.00%,63.00%,2024-12-10 05:31:57,1662.5331587791443
train,51,291.5178465738499,62.22%,56.00%,63.00%,2024-12-10 05:32:31,1697.1289949417114
train,52,291.18335987874855,61.78%,54.00%,63.00%,2024-12-10 05:33:05,1730.3856329917908
train,53,291.1021788186575,62.89%,60.00%,63.00%,2024-12-10 05:33:38,1763.5571160316467
train,54,290.3709048991437,61.56%,58.00%,63.00%,2024-12-10 05:34:11,1797.1496198177338
train,55,290.0503919255089,62.44%,59.00%,63.00%,2024-12-10 05:34:45,1830.9861538410187
train,56,289.92759274646374,62.22%,56.00%,63.00%,2024-12-10 05:35:18,1864.1493628025055
train,57,289.83519790325107,62.44%,59.00%,63.00%,2024-12-10 05:35:51,1897.1383001804352
train,58,289.9724849614225,62.22%,56.00%,63.00%,2024-12-10 05:36:24,1930.1111929416656
train,59,290.3997687852261,60.67%,57.00%,63.00%,2024-12-10 05:36:58,1963.4327359199524
train,60,290.36287158440155,61.78%,57.00%,63.00%,2024-12-10 05:37:31,1996.5129499435425
train,61,290.49112916243956,61.78%,58.00%,63.00%,2024-12-10 05:38:04,2029.355136871338
train,62,290.85251803286803,61.78%,57.00%,63.00%,2024-12-10 05:38:37,2062.6073019504547
train,63,290.7431390143286,62.00%,58.00%,63.00%,2024-12-10 05:39:10,2095.6985239982605
train,64,290.4863438708869,62.44%,56.00%,63.00%,2024-12-10 05:39:44,2130.0689198970795
train,65,290.16774230637395,62.89%,57.00%,63.00%,2024-12-10 05:40:18,2163.528286933899
train,66,290.00097549508763,61.33%,58.00%,63.00%,2024-12-10 05:40:51,2196.9224829673767
train,67,289.996539503348,61.56%,57.00%,63.00%,2024-12-10 05:41:24,2229.8604447841644
train,68,290.07163144383884,62.67%,57.00%,63.00%,2024-12-10 05:41:57,2263.2840299606323
train,69,290.1092569134361,61.56%,57.00%,63.00%,2024-12-10 05:42:31,2296.7473587989807
train,70,290.0471831235073,62.22%,56.00%,63.00%,2024-12-10 05:43:04,2329.809016942978
train,71,289.8384110322516,61.56%,55.00%,63.00%,2024-12-10 05:43:37,2362.842873096466
train,72,289.83904549123326,62.22%,56.00%,63.00%,2024-12-10 05:44:10,2396.1852989196777
train,73,289.8718809122599,61.56%,58.00%,63.00%,2024-12-10 05:44:44,2429.9259378910065
train,74,289.91883684933686,61.78%,57.00%,63.00%,2024-12-10 05:45:18,2463.5673730373383
train,75,290.01154643191154,62.22%,58.00%,63.00%,2024-12-10 05:45:51,2496.370792865753
train,76,290.0641872675524,62.44%,58.00%,63.00%,2024-12-10 05:46:24,2529.7897498607635
train,77,290.0647095224486,62.67%,55.00%,63.00%,2024-12-10 05:46:57,2563.253693819046
train,78,290.1000796657235,62.67%,57.00%,63.00%,2024-12-10 05:47:30,2596.2798178195953
train,79,290.1384165118611,62.44%,57.00%,63.00%,2024-12-10 05:48:03,2629.0954480171204
train,80,289.99792438618806,62.00%,58.00%,63.00%,2024-12-10 05:48:37,2662.299889087677
train,81,289.84988263904273,62.89%,55.00%,63.00%,2024-12-10 05:49:10,2695.6467838287354
train,82,289.70603459360797,62.00%,58.00%,63.00%,2024-12-10 05:49:43,2729.0327730178833
train,83,289.6702539293883,61.56%,56.00%,63.00%,2024-12-10 05:50:17,2762.9659497737885
train,84,289.6572547389133,62.44%,59.00%,63.00%,2024-12-10 05:50:50,2796.2092368602753
train,85,289.7069613255221,61.78%,58.00%,63.00%,2024-12-10 05:51:23,2829.175418138504
train,86,289.6979411880696,61.78%,60.00%,63.00%,2024-12-10 05:51:56,2862.175055027008
train,87,289.6575033264417,63.33%,57.00%,63.00%,2024-12-10 05:52:30,2895.504285812378
train,88,289.6021860188002,62.44%,60.00%,63.00%,2024-12-10 05:53:03,2928.747453927994
train,89,289.6540348919649,62.44%,58.00%,63.00%,2024-12-10 05:53:36,2961.7622351646423
train,90,289.7972775827109,62.44%,58.00%,63.00%,2024-12-10 05:54:09,2994.9322097301483
train,91,289.92863128834625,62.22%,57.00%,63.00%,2024-12-10 05:54:42,3027.991231918335
train,92,289.8334824592323,61.56%,58.00%,63.00%,2024-12-10 05:55:16,3061.5869510173798
train,93,289.78054844926606,62.44%,58.00%,63.00%,2024-12-10 05:55:49,3094.4844331741333
train,94,289.90785064764316,62.67%,57.00%,63.00%,2024-12-10 05:56:22,3127.48735499382
train,95,290.0022240602931,62.00%,58.00%,63.00%,2024-12-10 05:56:55,3160.7876918315887
train,96,289.91318833011377,63.33%,56.00%,63.00%,2024-12-10 05:57:28,3193.7693939208984
train,97,289.8006399716174,61.78%,59.00%,63.00%,2024-12-10 05:58:01,3226.601266860962
train,98,289.73936397895415,61.56%,57.00%,63.00%,2024-12-10 05:58:36,3261.353527069092
train,99,289.76189293091005,62.22%,58.00%,63.00%,2024-12-10 05:59:09,3294.500555038452
train,100,289.73151414081804,61.56%,57.00%,63.00%,2024-12-10 05:59:42,3327.6335740089417
train,101,289.66049414128196,63.11%,59.00%,63.00%,2024-12-10 06:00:15,3360.714013814926
train,102,289.6317029622977,61.11%,58.00%,63.00%,2024-12-10 06:00:48,3394.158050060272
train,103,289.5744183342063,63.78%,59.00%,63.00%,2024-12-10 06:01:21,3427.2018620967865
train,104,289.59589371855634,61.78%,58.00%,63.00%,2024-12-10 06:01:54,3460.1564309597015
train,105,289.61919781273247,62.67%,59.00%,63.00%,2024-12-10 06:02:28,3493.3175830841064
train,106,289.7370908762614,61.56%,56.00%,63.00%,2024-12-10 06:03:01,3526.525063753128
train,107,289.8587798227102,62.00%,58.00%,63.00%,2024-12-10 06:03:34,3559.43812084198
train,108,289.9722675991931,61.78%,56.00%,63.00%,2024-12-10 06:04:07,3592.7600729465485
train,109,289.9176662556593,62.00%,58.00%,63.00%,2024-12-10 06:04:40,3625.981989145279
train,110,289.9179067988025,62.00%,58.00%,63.00%,2024-12-10 06:05:13,3659.1187551021576
train,111,289.72556630340273,62.22%,58.00%,63.00%,2024-12-10 06:05:46,3692.1709611415863
train,112,289.6106584442255,62.67%,57.00%,63.00%,2024-12-10 06:06:19,3724.833729028702
train,113,289.6087003304538,62.44%,58.00%,63.00%,2024-12-10 06:06:52,3757.76957988739
train,114,289.6256144991223,62.00%,56.00%,63.00%,2024-12-10 06:07:24,3789.8591799736023
train,115,289.7021622950006,62.67%,58.00%,63.00%,2024-12-10 06:07:56,3822.1821160316467
train,116,289.85967544827236,62.00%,57.00%,63.00%,2024-12-10 06:08:28,3853.6901087760925
train,117,289.97063466085956,62.00%,58.00%,63.00%,2024-12-10 06:08:59,3885.1354279518127
train,118,289.8023312047672,62.00%,59.00%,63.00%,2024-12-10 06:09:31,3916.8189401626587
train,119,289.6325123784898,61.78%,58.00%,63.00%,2024-12-10 06:10:03,3948.8674099445343
train,120,289.51995193401126,63.33%,56.00%,63.00%,2024-12-10 06:10:35,3980.601991176605
train,121,289.48412747893144,62.89%,57.00%,63.00%,2024-12-10 06:11:06,4011.9556019306183
train,122,289.5264988553001,63.56%,56.00%,63.00%,2024-12-10 06:11:38,4043.5702040195465
