type,epoch,train_loss,train_acc,valid_acc,best_valid_acc,timestamp,total_training_time
train,1,329.99175715244905,50.89%,48.00%,48.00%,2024-12-10 20:29:19,24.363078594207764
train,2,316.3833165556003,51.78%,48.00%,48.00%,2024-12-10 20:29:31,37.015849113464355
train,3,314.1379304820683,53.33%,48.00%,48.00%,2024-12-10 20:29:44,49.78994965553284
train,4,312.8598476348308,52.89%,49.00%,49.00%,2024-12-10 20:29:56,62.144508361816406
train,5,311.85214462219335,52.44%,48.00%,49.00%,2024-12-10 20:30:09,74.74550080299377
train,6,310.8225710160128,53.33%,49.00%,49.00%,2024-12-10 20:30:22,88.28037023544312
train,7,309.6474851858048,56.44%,50.00%,50.00%,2024-12-10 20:30:35,101.02457523345947
train,8,308.3063210170933,57.11%,51.00%,51.00%,2024-12-10 20:30:48,113.41975951194763
train,9,306.81836574232483,60.22%,51.00%,51.00%,2024-12-10 20:31:00,126.03776049613953
train,10,305.2273195679583,59.78%,52.00%,52.00%,2024-12-10 20:31:13,138.79782676696777
train,11,303.5232788258064,61.78%,53.00%,53.00%,2024-12-10 20:31:27,152.38546419143677
train,12,301.825959764107,61.78%,55.00%,55.00%,2024-12-10 20:31:39,165.27557730674744
train,13,300.15540356728314,62.44%,57.00%,57.00%,2024-12-10 20:31:52,177.88718581199646
train,14,298.62898049171645,62.67%,54.00%,57.00%,2024-12-10 20:32:05,190.55645060539246
train,15,297.2610697917811,64.22%,55.00%,57.00%,2024-12-10 20:32:18,204.09367179870605
train,16,296.1366050448773,65.78%,55.00%,57.00%,2024-12-10 20:32:31,216.66853070259094
train,17,295.14314352028333,65.33%,57.00%,57.00%,2024-12-10 20:32:44,229.4711685180664
train,18,294.27184890460234,65.33%,56.00%,57.00%,2024-12-10 20:32:56,242.2151665687561
train,19,293.60221254814627,64.22%,56.00%,57.00%,2024-12-10 20:33:09,254.7564401626587
train,20,292.9738147202649,63.78%,56.00%,57.00%,2024-12-10 20:33:23,268.76350951194763
train,21,292.4598638097625,63.78%,55.00%,57.00%,2024-12-10 20:33:36,281.93312096595764
train,22,292.05358511912885,63.56%,55.00%,57.00%,2024-12-10 20:33:49,294.4727420806885
