type,epoch,batch,total_loss,valid_acc,correct,total,batch_time,timestamp,total_training_time
epoch,1,0,2.29881135250582,0.125,2,16,5.334038019180298,2024-12-10 06:26:36,5.334059000015259
epoch,1,5,11.515505868091715,0.125,2,16,6.207008123397827,2024-12-10 06:26:37,6.207032203674316
epoch,1,10,11.452908636733962,0.125,2,16,7.025420188903809,2024-12-10 06:26:38,7.025442123413086
epoch,1,15,11.362113302924461,0.125,2,16,7.802251100540161,2024-12-10 06:26:38,7.802274227142334
epoch,1,20,11.295312422961086,0.3125,5,16,8.598443031311035,2024-12-10 06:26:39,8.598465204238892
epoch,1,25,10.951455261302854,0.4375,7,16,9.358301162719727,2024-12-10 06:26:40,9.35832405090332
epoch,1,30,10.243632072582106,0.5,8,16,10.409389019012451,2024-12-10 06:26:41,10.409412145614624
epoch,1,35,9.570649721831934,0.625,10,16,11.19052505493164,2024-12-10 06:26:42,11.190550088882446
epoch,1,40,8.971383421505802,0.6875,11,16,11.955878257751465,2024-12-10 06:26:42,11.955918073654175
epoch,1,45,6.7967868395712365,0.4375,7,16,12.74203610420227,2024-12-10 06:26:43,12.742058038711548
epoch,1,50,8.788091740548763,0.5625,9,16,13.516840934753418,2024-12-10 06:26:44,13.516863107681274
epoch,1,55,6.72844397542967,0.625,10,16,14.307947158813477,2024-12-10 06:26:45,14.307966947555542
epoch,1,60,8.23404292264685,0.625,10,16,15.08278512954712,2024-12-10 06:26:46,15.082808017730713
epoch,1,65,5.108386017579876,0.625,10,16,15.921117305755615,2024-12-10 06:26:46,15.92113995552063
epoch,1,70,4.750274503863226,0.5,8,16,16.68482995033264,2024-12-10 06:26:47,16.684852123260498
epoch,1,75,4.446166458454217,0.5,8,16,17.43483328819275,2024-12-10 06:26:48,17.43487524986267
epoch,1,80,5.197991862576456,0.75,12,16,18.20423913002014,2024-12-10 06:26:49,18.20426106452942
epoch,1,85,4.501751412849239,0.8125,13,16,19.000120162963867,2024-12-10 06:26:50,19.00014019012451
