type,epoch,train_loss,train_acc,valid_acc,best_valid_acc,timestamp,total_training_time
train,1,334.36458853449676,52.44%,48.00%,48.00%,2024-12-10 21:01:25,24.267902135849
train,2,318.94243156659144,53.33%,48.00%,48.00%,2024-12-10 21:01:40,39.183977365493774
train,3,316.6682489465617,54.44%,48.00%,48.00%,2024-12-10 21:01:55,54.350921392440796
train,4,315.45311697962796,55.33%,48.00%,48.00%,2024-12-10 21:02:09,69.0037133693695
train,5,314.5189111763568,55.56%,53.00%,53.00%,2024-12-10 21:02:24,83.80774593353271
train,6,313.58848584957144,56.67%,55.00%,55.00%,2024-12-10 21:02:39,98.74446249008179
train,7,312.54574834548515,57.56%,55.00%,55.00%,2024-12-10 21:02:54,113.61796808242798
train,8,311.36177827212197,58.67%,56.00%,56.00%,2024-12-10 21:03:09,128.24592900276184
train,9,310.02820694749306,60.00%,55.00%,56.00%,2024-12-10 21:03:24,143.16821885108948
train,10,308.5206858756305,62.44%,58.00%,58.00%,2024-12-10 21:03:39,158.22843837738037
train,11,306.9202648740784,63.56%,58.00%,58.00%,2024-12-10 21:03:54,173.07857847213745
train,12,305.2739789083631,64.89%,59.00%,59.00%,2024-12-10 21:04:08,187.89611315727234
train,13,303.6593967175955,64.44%,61.00%,61.00%,2024-12-10 21:04:23,202.72675156593323
train,14,302.08532220870103,65.11%,61.00%,61.00%,2024-12-10 21:04:38,218.02972388267517
train,15,300.6999873681072,65.56%,61.00%,61.00%,2024-12-10 21:04:53,232.9696762561798
train,16,299.4402971686786,66.44%,61.00%,61.00%,2024-12-10 21:05:08,248.04125356674194
train,17,298.3229022005579,66.67%,59.00%,61.00%,2024-12-10 21:05:23,262.97073912620544
train,18,297.3569559066948,66.44%,56.00%,61.00%,2024-12-10 21:05:39,278.35764932632446
train,19,296.5707753875911,66.67%,55.00%,61.00%,2024-12-10 21:05:54,293.2967779636383
train,20,295.89438482727405,66.22%,54.00%,61.00%,2024-12-10 21:06:08,307.967410326004
train,21,295.2746252798818,66.89%,55.00%,61.00%,2024-12-10 21:06:23,322.6877341270447
train,22,294.7759610942227,66.00%,54.00%,61.00%,2024-12-10 21:06:38,337.98600602149963
train,23,294.33758293980947,66.22%,54.00%,61.00%,2024-12-10 21:06:53,352.7545382976532
train,24,293.96889088259223,66.67%,55.00%,61.00%,2024-12-10 21:07:08,367.5921583175659
train,25,293.6779995001769,65.11%,54.00%,61.00%,2024-12-10 21:07:23,382.52280735969543
train,26,293.5209890735733,65.56%,54.00%,61.00%,2024-12-10 21:07:38,397.6315207481384
train,27,293.56927763060696,64.67%,55.00%,61.00%,2024-12-10 21:07:53,412.76062989234924
train,28,294.1323618469182,64.44%,55.00%,61.00%,2024-12-10 21:08:08,427.4547872543335
train,29,295.0939086996526,62.44%,55.00%,61.00%,2024-12-10 21:08:23,442.0737557411194
train,30,295.02097343261266,64.44%,56.00%,61.00%,2024-12-10 21:08:38,457.2029802799225
train,31,293.88490725439664,64.00%,55.00%,61.00%,2024-12-10 21:08:52,471.97188425064087
train,32,293.6474988945748,63.56%,61.00%,61.00%,2024-12-10 21:09:07,486.82173252105713
train,33,293.26740802968635,63.56%,59.00%,61.00%,2024-12-10 21:09:22,501.7131521701813
train,34,294.3318531751206,62.00%,58.00%,61.00%,2024-12-10 21:09:37,516.5581634044647
train,35,294.24246051414156,63.11%,60.00%,61.00%,2024-12-10 21:09:52,531.3193504810333
train,36,293.0553118713179,63.11%,61.00%,61.00%,2024-12-10 21:10:07,546.0562086105347
train,37,292.6130550250928,62.22%,58.00%,61.00%,2024-12-10 21:10:21,560.7558536529541
train,38,292.93982052409655,63.56%,63.00%,63.00%,2024-12-10 21:10:35,574.3596498966217
train,39,294.157742414016,64.00%,62.00%,63.00%,2024-12-10 21:10:49,588.2201914787292
train,40,294.70732909711285,63.56%,63.00%,63.00%,2024-12-10 21:11:02,601.7651460170746
train,41,293.01732451505956,61.78%,61.00%,63.00%,2024-12-10 21:11:16,615.7279987335205
train,42,292.99534687272256,63.11%,61.00%,63.00%,2024-12-10 21:11:30,629.340430021286
train,43,292.6108779293656,61.78%,62.00%,63.00%,2024-12-10 21:11:44,643.257979631424
train,44,292.8546227734222,62.89%,61.00%,63.00%,2024-12-10 21:11:57,656.8328292369843
train,45,293.00596662954797,62.22%,61.00%,63.00%,2024-12-10 21:12:11,670.4063329696655
train,46,292.7184208464078,63.11%,62.00%,63.00%,2024-12-10 21:12:26,685.1503531932831
train,47,292.76922845940476,62.22%,63.00%,63.00%,2024-12-10 21:12:39,699.0081219673157
train,48,293.5297262102881,62.44%,64.00%,64.00%,2024-12-10 21:12:53,712.5675013065338
train,49,293.58948420823685,63.33%,64.00%,64.00%,2024-12-10 21:13:07,726.1302847862244
train,50,292.64864436701237,62.44%,64.00%,64.00%,2024-12-10 21:13:21,740.6761665344238
train,51,292.6040189489992,62.67%,65.00%,65.00%,2024-12-10 21:13:35,754.182893037796
train,52,292.20302746758733,62.67%,65.00%,65.00%,2024-12-10 21:13:48,768.0455145835876
train,53,292.40887173582786,63.11%,65.00%,65.00%,2024-12-10 21:14:02,781.5589385032654
train,54,292.94114593534357,62.67%,65.00%,65.00%,2024-12-10 21:14:16,795.4101512432098
train,55,292.9655668193012,63.11%,64.00%,65.00%,2024-12-10 21:14:30,809.4258997440338
train,56,292.5910430309378,62.67%,64.00%,65.00%,2024-12-10 21:14:44,823.3276989459991
train,57,292.70280580346497,62.67%,65.00%,65.00%,2024-12-10 21:14:57,836.8682718276978
train,58,292.32046512575,62.89%,64.00%,65.00%,2024-12-10 21:15:11,850.4138987064362
train,59,292.6127791206314,62.67%,65.00%,65.00%,2024-12-10 21:15:25,864.9189395904541
train,60,293.0325898907057,62.67%,66.00%,66.00%,2024-12-10 21:15:39,878.7536444664001
train,61,292.14350728382084,62.67%,65.00%,66.00%,2024-12-10 21:15:53,892.3067805767059
train,62,292.4182524904312,62.89%,65.00%,66.00%,2024-12-10 21:16:06,905.8822135925293
train,63,292.3628704688019,62.22%,66.00%,66.00%,2024-12-10 21:16:21,920.4501292705536
train,64,291.96062045071017,62.67%,64.00%,66.00%,2024-12-10 21:16:34,934.0226409435272
train,65,292.28487313315594,61.56%,66.00%,66.00%,2024-12-10 21:16:48,947.8695349693298
train,66,291.9861904772947,62.44%,65.00%,66.00%,2024-12-10 21:17:02,961.45441365242
train,67,292.5108914234097,62.00%,66.00%,66.00%,2024-12-10 21:17:16,975.2611231803894
