type,epoch,train_loss,train_acc,valid_acc,best_valid_acc,timestamp,total_training_time
train,1,332.4974109716423,52.00%,48.00%,48.00%,2024-12-10 04:44:10,36.13916301727295
train,2,316.53701999355843,53.11%,48.00%,48.00%,2024-12-10 04:44:43,68.38816690444946
train,3,314.38207943964636,52.67%,48.00%,48.00%,2024-12-10 04:45:15,100.69668698310852
train,4,313.18795011589623,53.33%,48.00%,48.00%,2024-12-10 04:45:47,132.5358588695526
train,5,312.24615803496226,54.22%,49.00%,49.00%,2024-12-10 04:46:19,164.52698016166687
train,6,311.3024849174426,53.56%,51.00%,51.00%,2024-12-10 04:46:51,196.76851201057434
train,7,310.25751056411053,54.22%,51.00%,51.00%,2024-12-10 04:47:24,229.46577310562134
train,8,309.0545175054787,56.89%,52.00%,52.00%,2024-12-10 04:47:56,261.41416096687317
train,9,307.7205433502114,57.78%,52.00%,52.00%,2024-12-10 04:48:30,296.2663140296936
train,10,306.2338329655968,60.44%,51.00%,52.00%,2024-12-10 04:49:03,328.9997239112854
train,11,304.63104307302467,62.89%,51.00%,52.00%,2024-12-10 04:49:35,360.3398880958557
train,12,303.046092864698,63.33%,52.00%,52.00%,2024-12-10 04:50:06,391.78804183006287
train,13,301.39341263845955,64.67%,52.00%,52.00%,2024-12-10 04:50:38,423.84251284599304
train,14,299.880176957041,65.11%,51.00%,52.00%,2024-12-10 04:51:09,455.25426983833313
train,15,298.48122604837596,65.56%,52.00%,52.00%,2024-12-10 04:51:42,487.9547860622406
train,16,297.2188071443453,66.44%,52.00%,52.00%,2024-12-10 04:52:14,519.8406138420105
train,17,296.11123111880846,66.00%,52.00%,52.00%,2024-12-10 04:52:46,551.7199468612671
train,18,295.1803995072301,65.56%,51.00%,52.00%,2024-12-10 04:53:17,583.2126340866089
train,19,294.4008699896188,65.56%,52.00%,52.00%,2024-12-10 04:53:49,614.9618360996246
train,20,293.7298798853287,64.89%,49.00%,52.00%,2024-12-10 04:54:22,647.402822971344
train,21,293.154771899739,65.11%,50.00%,52.00%,2024-12-10 04:54:53,678.9992799758911
train,22,292.6962191400314,64.22%,49.00%,52.00%,2024-12-10 04:55:25,710.6709549427032
train,23,292.27199131589117,65.33%,49.00%,52.00%,2024-12-10 04:55:56,741.9545741081238
train,24,291.89391780947994,64.67%,49.00%,52.00%,2024-12-10 04:56:28,773.7497389316559
train,25,291.62478689448926,65.11%,48.00%,52.00%,2024-12-10 04:57:00,805.5947759151459
train,26,291.42295450291255,64.89%,52.00%,52.00%,2024-12-10 04:57:32,838.0258028507233
