type,epoch,train_loss,train_acc,valid_acc,best_valid_acc,timestamp,total_training_time
train,1,331.71634288578616,53.33%,48.00%,48.00%,2024-12-10 21:53:46,24.31829285621643
train,2,318.6420248027343,53.33%,48.00%,48.00%,2024-12-10 21:53:59,38.16243004798889
train,3,316.5341997101332,53.56%,48.00%,48.00%,2024-12-10 21:54:13,51.85786986351013
train,4,315.3303886254505,54.44%,48.00%,48.00%,2024-12-10 21:54:28,66.78695154190063
train,5,314.33015523305784,53.78%,49.00%,49.00%,2024-12-10 21:54:42,80.78421425819397
train,6,313.3384117786231,54.67%,50.00%,50.00%,2024-12-10 21:54:56,94.49596500396729
train,7,312.2103665165992,56.00%,50.00%,50.00%,2024-12-10 21:55:09,108.19199419021606
train,8,310.9450211362119,58.22%,49.00%,50.00%,2024-12-10 21:55:25,123.28942251205444
train,9,309.54013484538586,59.33%,49.00%,50.00%,2024-12-10 21:55:38,136.9656057357788
train,10,308.0099694462518,60.44%,50.00%,50.00%,2024-12-10 21:55:52,150.93760991096497
train,11,306.41856793309836,61.11%,51.00%,51.00%,2024-12-10 21:56:06,164.58647513389587
train,12,304.7759725202439,62.67%,50.00%,51.00%,2024-12-10 21:56:21,179.3829345703125
train,13,303.17706703079483,62.67%,51.00%,51.00%,2024-12-10 21:56:34,193.05296444892883
train,14,301.7052301011316,63.33%,53.00%,53.00%,2024-12-10 21:56:48,207.02187991142273
train,15,300.35528793707874,64.22%,54.00%,54.00%,2024-12-10 21:57:02,220.8261058330536
train,16,299.0982979264427,64.67%,53.00%,54.00%,2024-12-10 21:57:16,234.93727803230286
train,17,298.0554999370681,65.11%,54.00%,54.00%,2024-12-10 21:57:30,248.56536555290222
train,18,297.1827855745513,64.89%,55.00%,55.00%,2024-12-10 21:57:44,262.50350737571716
train,19,296.42509032963744,64.00%,56.00%,56.00%,2024-12-10 21:57:57,276.1349012851715
train,20,295.8052197778443,65.11%,53.00%,56.00%,2024-12-10 21:58:11,289.8573615550995
train,21,295.27557965197485,64.89%,55.00%,56.00%,2024-12-10 21:58:27,305.42415285110474
train,22,294.8264941299186,64.67%,54.00%,56.00%,2024-12-10 21:58:42,320.2961542606354
train,23,294.4451910483142,65.33%,55.00%,56.00%,2024-12-10 21:58:57,335.2690980434418
train,24,294.0929890933992,64.22%,54.00%,56.00%,2024-12-10 21:59:11,350.0205900669098
train,25,293.8655615821014,64.89%,54.00%,56.00%,2024-12-10 21:59:26,364.8674097061157
train,26,293.90188068875415,65.56%,53.00%,56.00%,2024-12-10 21:59:41,379.6980667114258
train,27,294.33453914183553,64.00%,55.00%,56.00%,2024-12-10 21:59:56,394.7557454109192
train,28,293.82853778437004,63.78%,56.00%,56.00%,2024-12-10 22:00:11,409.91713309288025
train,29,294.95161485850457,63.78%,55.00%,56.00%,2024-12-10 22:00:26,425.03420996665955
train,30,297.196937900139,59.78%,56.00%,56.00%,2024-12-10 22:00:41,440.1051347255707
train,31,296.33426322289876,63.56%,58.00%,58.00%,2024-12-10 22:00:56,455.10329270362854
train,32,293.9186992449619,63.11%,56.00%,58.00%,2024-12-10 22:01:13,471.69452023506165
train,33,293.46045012209777,62.00%,57.00%,58.00%,2024-12-10 22:01:29,487.6941714286804
train,34,293.3471142780819,63.78%,56.00%,58.00%,2024-12-10 22:01:44,502.9757733345032
train,35,293.5958111118112,63.78%,56.00%,58.00%,2024-12-10 22:01:59,517.8560984134674
train,36,293.29646505923944,63.33%,57.00%,58.00%,2024-12-10 22:02:14,532.603188753128
train,37,294.47073689764414,62.89%,57.00%,58.00%,2024-12-10 22:02:29,547.3035125732422
train,38,295.2574435246008,63.33%,57.00%,58.00%,2024-12-10 22:02:44,562.2823128700256
train,39,293.209688419318,62.67%,57.00%,58.00%,2024-12-10 22:02:58,577.064343214035
train,40,293.0925665345735,63.11%,55.00%,58.00%,2024-12-10 22:03:13,591.6491527557373
train,41,292.8908909237423,63.11%,55.00%,58.00%,2024-12-10 22:03:27,605.2727146148682
train,42,292.7908748452474,62.44%,56.00%,58.00%,2024-12-10 22:03:41,619.2369899749756
train,43,292.97484913129557,61.78%,55.00%,58.00%,2024-12-10 22:03:55,633.4520790576935
train,44,293.6949061975034,63.11%,61.00%,61.00%,2024-12-10 22:04:08,647.22633934021
train,45,293.5457344311768,62.67%,61.00%,61.00%,2024-12-10 22:04:23,662.1368424892426
train,46,292.77674115778507,61.78%,61.00%,61.00%,2024-12-10 22:04:37,675.7821643352509
train,47,292.54032205369174,61.78%,57.00%,61.00%,2024-12-10 22:04:54,692.5603291988373
train,48,293.4945911518754,63.33%,62.00%,62.00%,2024-12-10 22:05:08,706.2620244026184
train,49,293.4908924823108,60.67%,61.00%,62.00%,2024-12-10 22:05:22,721.2219526767731
train,50,293.4704859802638,62.44%,62.00%,62.00%,2024-12-10 22:05:36,734.8932864665985
train,51,294.1577376572259,62.67%,62.00%,62.00%,2024-12-10 22:05:50,748.8016045093536
train,52,292.8835093633711,61.56%,60.00%,62.00%,2024-12-10 22:06:04,762.7516586780548
train,53,292.6715679946519,62.22%,60.00%,62.00%,2024-12-10 22:06:19,777.4870283603668
train,54,293.0956880290887,63.78%,62.00%,62.00%,2024-12-10 22:06:32,791.1448583602905
train,55,292.46462600322747,62.44%,60.00%,62.00%,2024-12-10 22:06:47,805.3218150138855
train,56,292.85951800830213,62.00%,62.00%,62.00%,2024-12-10 22:07:00,818.9575457572937
train,57,293.45172732552516,63.33%,61.00%,62.00%,2024-12-10 22:07:14,832.5929777622223
train,58,292.37831502074744,61.11%,62.00%,62.00%,2024-12-10 22:07:29,847.5085854530334
train,59,292.86962570415454,62.44%,64.00%,64.00%,2024-12-10 22:07:43,862.0816326141357
train,60,292.92455539497985,63.56%,62.00%,64.00%,2024-12-10 22:07:57,875.8137242794037
train,61,292.23669076708205,61.56%,61.00%,64.00%,2024-12-10 22:08:11,889.4772915840149
train,62,292.8905316235103,62.67%,62.00%,64.00%,2024-12-10 22:08:26,904.5132124423981
train,63,292.66148422378063,64.00%,63.00%,64.00%,2024-12-10 22:08:39,918.1950051784515
train,64,292.3761923019312,62.44%,61.00%,64.00%,2024-12-10 22:08:53,932.1965546607971
train,65,293.19214343011714,61.33%,63.00%,64.00%,2024-12-10 22:09:07,945.824462890625
train,66,292.56806067140514,63.78%,63.00%,64.00%,2024-12-10 22:09:22,960.5281338691711
train,67,292.3255705389021,62.00%,62.00%,64.00%,2024-12-10 22:09:35,974.1512706279755
train,68,292.7920972139293,61.78%,64.00%,64.00%,2024-12-10 22:09:50,988.7488946914673
train,69,292.29892478301906,64.00%,63.00%,64.00%,2024-12-10 22:10:04,1002.4279456138611
train,70,292.43050416505946,62.89%,61.00%,64.00%,2024-12-10 22:10:19,1017.2632164955139
train,71,292.8606430155945,61.56%,64.00%,64.00%,2024-12-10 22:10:32,1030.9096326828003
train,72,292.2862934642239,63.11%,62.00%,64.00%,2024-12-10 22:10:46,1044.8673577308655
train,73,292.35223665119406,62.67%,61.00%,64.00%,2024-12-10 22:11:00,1058.5926473140717
train,74,292.5792111770698,61.78%,64.00%,64.00%,2024-12-10 22:11:14,1072.3094065189362
train,75,292.0913249893748,63.78%,63.00%,64.00%,2024-12-10 22:11:28,1087.1894302368164
train,76,292.525321327817,63.33%,61.00%,64.00%,2024-12-10 22:11:42,1100.8439667224884
train,77,292.69113117519373,61.78%,63.00%,64.00%,2024-12-10 22:11:56,1114.7839975357056
train,78,292.10696719330656,63.33%,62.00%,64.00%,2024-12-10 22:12:10,1128.452970981598
train,79,292.2019168991004,62.44%,62.00%,64.00%,2024-12-10 22:12:25,1143.291466474533
train,80,292.1674853763487,62.00%,63.00%,64.00%,2024-12-10 22:12:38,1157.0165286064148
train,81,291.9255098470729,62.44%,63.00%,64.00%,2024-12-10 22:12:52,1170.9994599819183
train,82,292.247852012297,62.67%,61.00%,64.00%,2024-12-10 22:13:07,1185.373990535736
train,83,292.2371190999295,62.22%,63.00%,64.00%,2024-12-10 22:13:21,1200.0017278194427
train,84,291.9406532170274,63.11%,63.00%,64.00%,2024-12-10 22:13:35,1213.6021540164948
train,85,292.0794502231163,62.44%,62.00%,64.00%,2024-12-10 22:13:49,1227.5841872692108
train,86,291.97834232543966,61.78%,63.00%,64.00%,2024-12-10 22:14:03,1241.2670118808746
train,87,291.8819740780421,62.00%,62.00%,64.00%,2024-12-10 22:14:17,1256.1460762023926
train,88,292.3286186750006,62.67%,61.00%,64.00%,2024-12-10 22:14:31,1269.7925562858582
train,89,292.17761158325675,62.44%,62.00%,64.00%,2024-12-10 22:14:45,1283.7879717350006
train,90,291.9483636822835,61.56%,62.00%,64.00%,2024-12-10 22:14:59,1297.397558927536
train,91,292.051671896108,62.67%,62.00%,64.00%,2024-12-10 22:15:12,1311.0705065727234
train,92,291.8206108482323,62.00%,61.00%,64.00%,2024-12-10 22:15:28,1326.779762506485
train,93,291.9359482945654,61.56%,60.00%,64.00%,2024-12-10 22:15:42,1340.4906079769135
train,94,292.16827593794915,62.67%,61.00%,64.00%,2024-12-10 22:15:56,1354.4045264720917
train,95,291.947126181245,62.44%,60.00%,64.00%,2024-12-10 22:16:09,1368.1859300136566
train,96,291.7990202433509,62.22%,61.00%,64.00%,2024-12-10 22:16:24,1383.0831594467163
train,97,291.8659770023287,62.44%,61.00%,64.00%,2024-12-10 22:16:38,1396.7274315357208
train,98,291.73883923617996,61.56%,61.00%,64.00%,2024-12-10 22:16:52,1410.7109587192535
train,99,291.90353859655755,62.22%,59.00%,64.00%,2024-12-10 22:17:06,1425.170328617096
train,100,291.9935414219508,62.89%,61.00%,64.00%,2024-12-10 22:17:21,1439.8112664222717
train,101,291.8232601980153,63.11%,59.00%,64.00%,2024-12-10 22:17:35,1453.4812173843384
train,102,291.7344382010701,62.89%,60.00%,64.00%,2024-12-10 22:17:49,1467.4164628982544
train,103,291.74687730975114,62.22%,59.00%,64.00%,2024-12-10 22:18:02,1481.1086325645447
train,104,291.7288149657755,62.00%,59.00%,64.00%,2024-12-10 22:18:17,1495.4640238285065
train,105,292.00192037705847,62.00%,57.00%,64.00%,2024-12-10 22:18:30,1509.0875420570374
train,106,292.12919749150194,63.11%,61.00%,64.00%,2024-12-10 22:18:44,1522.9915654659271
train,107,291.9224907948654,63.11%,56.00%,64.00%,2024-12-10 22:18:59,1537.37886428833
train,108,291.7326716532323,62.44%,54.00%,64.00%,2024-12-10 22:19:12,1551.1322014331818
train,109,291.7311854698238,62.00%,55.00%,64.00%,2024-12-10 22:19:27,1565.9434611797333
train,110,291.69148265993323,62.89%,54.00%,64.00%,2024-12-10 22:19:41,1579.646672487259
train,111,291.8093158358853,62.67%,54.00%,64.00%,2024-12-10 22:19:55,1593.5828144550323
train,112,291.85673499880016,63.78%,57.00%,64.00%,2024-12-10 22:20:09,1607.267299413681
train,113,291.7635374655612,63.33%,54.00%,64.00%,2024-12-10 22:20:24,1622.3060147762299
train,114,291.6445970778651,62.22%,53.00%,64.00%,2024-12-10 22:20:37,1635.9072568416595
train,115,291.64635435432194,61.78%,54.00%,64.00%,2024-12-10 22:20:52,1650.9352679252625
train,116,291.6473436011773,63.56%,53.00%,64.00%,2024-12-10 22:21:06,1664.547696352005
train,117,291.740005930105,62.22%,54.00%,64.00%,2024-12-10 22:21:20,1679.1367411613464
train,118,291.761822293462,63.78%,53.00%,64.00%,2024-12-10 22:21:34,1692.7999975681305
train,119,291.6883455577606,63.56%,54.00%,64.00%,2024-12-10 22:21:48,1706.780258655548
train,120,291.6028183815304,63.11%,53.00%,64.00%,2024-12-10 22:22:02,1720.4637327194214
train,121,291.6074950142964,62.89%,53.00%,64.00%,2024-12-10 22:22:16,1734.4369564056396
train,122,291.611992299467,63.33%,52.00%,64.00%,2024-12-10 22:22:30,1748.7264437675476
train,123,291.66492265686907,62.22%,54.00%,64.00%,2024-12-10 22:22:44,1762.4327464103699
train,124,291.6802849549715,64.00%,52.00%,64.00%,2024-12-10 22:22:58,1776.3228793144226
