type,epoch,train_loss,train_acc,valid_acc,best_valid_acc,timestamp,total_training_time
train,1,330.01602099005345,51.78%,48.00%,48.00%,2024-12-10 20:16:13,23.286355018615723
train,2,316.53072745541107,52.44%,48.00%,48.00%,2024-12-10 20:16:26,37.000710248947144
train,3,314.32551255229004,54.67%,48.00%,48.00%,2024-12-10 20:16:40,50.5291702747345
train,4,313.08226733664327,54.89%,48.00%,48.00%,2024-12-10 20:16:53,64.24931335449219
train,5,312.10071005326955,55.33%,49.00%,49.00%,2024-12-10 20:17:07,77.6578598022461
train,6,311.14209012950187,54.67%,51.00%,51.00%,2024-12-10 20:17:20,91.11177968978882
train,7,310.0466342934406,56.00%,51.00%,51.00%,2024-12-10 20:17:34,104.82646560668945
train,8,308.81924557321344,57.78%,52.00%,52.00%,2024-12-10 20:17:48,118.42314553260803
train,9,307.44937424452553,60.67%,52.00%,52.00%,2024-12-10 20:18:01,131.995934009552
train,10,305.9695888052229,61.33%,52.00%,52.00%,2024-12-10 20:18:15,145.79092979431152
train,11,304.42164302683955,62.00%,54.00%,54.00%,2024-12-10 20:18:29,159.65618133544922
train,12,302.8634055035827,63.56%,54.00%,54.00%,2024-12-10 20:18:43,173.8718695640564
train,13,301.3165034817719,64.44%,53.00%,54.00%,2024-12-10 20:18:57,187.74480748176575
train,14,299.84565228299044,63.78%,53.00%,54.00%,2024-12-10 20:19:11,202.07562947273254
train,15,298.4874600318198,64.22%,51.00%,54.00%,2024-12-10 20:19:25,215.81666111946106
train,16,297.2414392573959,65.33%,50.00%,54.00%,2024-12-10 20:19:39,229.9411425590515
train,17,296.15706893205373,64.89%,50.00%,54.00%,2024-12-10 20:19:55,245.58476424217224
train,18,295.22927764426305,64.44%,50.00%,54.00%,2024-12-10 20:20:08,259.2407648563385
train,19,294.42667047152656,65.11%,50.00%,54.00%,2024-12-10 20:20:22,272.75396633148193
train,20,293.72379243187333,65.56%,50.00%,54.00%,2024-12-10 20:20:36,286.6061899662018
train,21,293.14749971997287,65.78%,49.00%,54.00%,2024-12-10 20:20:50,300.6678605079651
train,22,292.6543427129835,66.89%,51.00%,54.00%,2024-12-10 20:21:03,314.1530382633209
train,23,292.2082112637493,66.22%,51.00%,54.00%,2024-12-10 20:21:17,327.3675332069397
train,24,291.8707641067409,66.44%,50.00%,54.00%,2024-12-10 20:21:30,340.8943543434143
train,25,291.58212602069966,65.33%,52.00%,54.00%,2024-12-10 20:21:44,354.6005108356476
train,26,291.5942268904229,66.00%,50.00%,54.00%,2024-12-10 20:21:57,368.0285656452179
train,27,292.7426630785479,63.78%,49.00%,54.00%,2024-12-10 20:22:11,381.37563705444336
train,28,293.49268188775807,64.67%,52.00%,54.00%,2024-12-10 20:22:24,394.8708145618439
train,29,292.18204601880853,64.22%,50.00%,54.00%,2024-12-10 20:22:38,408.76720094680786
train,30,291.42701202409376,65.11%,53.00%,54.00%,2024-12-10 20:22:51,422.1821699142456
train,31,291.3607053675139,62.44%,49.00%,54.00%,2024-12-10 20:23:05,435.73679780960083
train,32,291.73648435628536,64.67%,52.00%,54.00%,2024-12-10 20:23:18,449.0824890136719
train,33,291.11109714101053,63.11%,52.00%,54.00%,2024-12-10 20:23:32,462.44382905960083
train,34,291.16156973512204,63.33%,54.00%,54.00%,2024-12-10 20:23:45,476.1183044910431
train,35,292.60372884033086,64.44%,54.00%,54.00%,2024-12-10 20:23:59,489.3708245754242
train,36,291.9332678779326,63.11%,52.00%,54.00%,2024-12-10 20:24:12,502.69484210014343
train,37,291.6811320874219,64.67%,56.00%,56.00%,2024-12-10 20:24:26,516.7625901699066
train,38,291.18757708229145,62.44%,52.00%,56.00%,2024-12-10 20:24:40,530.5863037109375
train,39,291.0718809783359,63.33%,54.00%,56.00%,2024-12-10 20:24:53,543.9383480548859
train,40,290.9214711479542,62.67%,53.00%,56.00%,2024-12-10 20:25:07,557.6795315742493
train,41,290.97596829461764,64.22%,55.00%,56.00%,2024-12-10 20:25:20,570.9171884059906
train,42,291.2065863555584,64.44%,54.00%,56.00%,2024-12-10 20:25:34,584.5807991027832
train,43,290.1295111494609,62.89%,55.00%,56.00%,2024-12-10 20:25:47,598.0610945224762
train,44,290.5044177332428,64.22%,56.00%,56.00%,2024-12-10 20:26:01,611.4621634483337
train,45,290.5552134266378,64.00%,56.00%,56.00%,2024-12-10 20:26:14,625.0808072090149
train,46,290.94628357968867,61.78%,57.00%,57.00%,2024-12-10 20:26:28,638.391881942749
train,47,290.2455787076243,63.11%,54.00%,57.00%,2024-12-10 20:26:41,651.9051556587219
train,48,291.23264706127617,64.22%,56.00%,57.00%,2024-12-10 20:26:55,665.3922090530396
train,49,290.5563068613903,62.89%,55.00%,57.00%,2024-12-10 20:27:08,678.629385471344
train,50,290.1194872596718,62.44%,54.00%,57.00%,2024-12-10 20:27:21,692.0363819599152
train,51,290.23024294890763,63.33%,54.00%,57.00%,2024-12-10 20:27:35,705.7776050567627
train,52,290.6282591124926,62.89%,54.00%,57.00%,2024-12-10 20:27:49,719.5212371349335
train,53,290.3010035097034,61.78%,55.00%,57.00%,2024-12-10 20:28:02,732.7802450656891
train,54,290.2005238297376,62.22%,55.00%,57.00%,2024-12-10 20:28:15,746.0561573505402
train,55,290.5081646144494,63.56%,55.00%,57.00%,2024-12-10 20:28:28,758.5152893066406
train,56,290.1379891654147,62.44%,55.00%,57.00%,2024-12-10 20:28:41,771.6638975143433
