type,epoch,train_loss,train_acc,valid_acc,best_valid_acc,timestamp,total_training_time
train,1,330.6045021002404,52.67%,48.00%,48.00%,2024-12-10 19:24:18,25.161014080047607
train,2,316.348306219608,52.44%,48.00%,48.00%,2024-12-10 19:24:31,38.969741344451904
train,3,314.2319410460325,52.89%,48.00%,48.00%,2024-12-10 19:24:45,52.64469265937805
train,4,313.04112906155495,52.89%,47.00%,48.00%,2024-12-10 19:24:59,66.33280897140503
train,5,312.08071074731265,54.44%,51.00%,51.00%,2024-12-10 19:25:12,79.83391761779785
train,6,311.10543908075647,56.89%,52.00%,52.00%,2024-12-10 19:25:26,94.00952649116516
train,7,310.0000970777108,57.33%,55.00%,55.00%,2024-12-10 19:25:40,108.01915979385376
train,8,308.76608945631114,58.89%,55.00%,55.00%,2024-12-10 19:25:53,120.9290874004364
train,9,307.38593892832534,60.00%,54.00%,55.00%,2024-12-10 19:26:07,134.24856448173523
train,10,305.83212726437216,61.56%,57.00%,57.00%,2024-12-10 19:26:19,146.99272418022156
train,11,304.20353722200866,62.22%,56.00%,57.00%,2024-12-10 19:26:33,160.18239784240723
train,12,302.55929081618666,63.78%,59.00%,59.00%,2024-12-10 19:26:46,173.90904021263123
train,13,300.96191664685017,63.56%,58.00%,59.00%,2024-12-10 19:27:00,187.60926175117493
train,14,299.44345075998376,63.78%,58.00%,59.00%,2024-12-10 19:27:14,201.16693568229675
train,15,298.0485019289666,64.22%,58.00%,59.00%,2024-12-10 19:27:27,214.93867444992065
train,16,296.814179142871,64.44%,57.00%,59.00%,2024-12-10 19:27:41,228.65235781669617
train,17,295.7475539477915,65.33%,56.00%,59.00%,2024-12-10 19:27:55,242.65996670722961
train,18,294.83718874106364,66.22%,57.00%,59.00%,2024-12-10 19:28:09,256.33329796791077
train,19,294.05450173817013,64.89%,61.00%,61.00%,2024-12-10 19:28:22,269.9442174434662
train,20,293.3968081387386,65.56%,59.00%,61.00%,2024-12-10 19:28:36,283.5887916088104
train,21,292.8452476570736,64.67%,59.00%,61.00%,2024-12-10 19:28:49,297.0164909362793
train,22,292.3610951632595,64.67%,57.00%,61.00%,2024-12-10 19:29:03,310.30430722236633
train,23,291.95510018191845,64.44%,55.00%,61.00%,2024-12-10 19:29:16,323.8643887042999
train,24,291.615773689169,64.89%,56.00%,61.00%,2024-12-10 19:29:30,337.62254071235657
train,25,291.29023439603037,64.00%,55.00%,61.00%,2024-12-10 19:29:44,351.5318248271942
train,26,291.0631889544718,64.22%,54.00%,61.00%,2024-12-10 19:29:57,365.13641357421875
train,27,291.1990013648071,62.67%,55.00%,61.00%,2024-12-10 19:30:11,378.59490394592285
train,28,293.04502642468134,63.33%,60.00%,61.00%,2024-12-10 19:30:23,391.1146945953369
train,29,293.12141638305155,63.33%,51.00%,61.00%,2024-12-10 19:30:36,403.9692461490631
