type,epoch,train_loss,train_acc,valid_acc,best_valid_acc,timestamp,total_training_time
train,1,331.53878318699196,51.78%,48.00%,48.00%,2024-12-10 19:55:15,22.808969497680664
train,2,316.8621392111786,52.67%,48.00%,48.00%,2024-12-10 19:55:29,36.41447138786316
train,3,314.5674162441951,53.56%,48.00%,48.00%,2024-12-10 19:55:43,50.53438973426819
train,4,313.3268002537897,54.22%,48.00%,48.00%,2024-12-10 19:55:57,64.10376191139221
train,5,312.38242967140076,54.44%,49.00%,49.00%,2024-12-10 19:56:11,78.36731743812561
train,6,311.4574491366081,54.44%,50.00%,50.00%,2024-12-10 19:56:24,92.03368330001831
train,7,310.4104198769641,54.22%,51.00%,51.00%,2024-12-10 19:56:38,105.66763830184937
train,8,309.2264906994801,58.00%,52.00%,52.00%,2024-12-10 19:56:52,119.06920766830444
train,9,307.8768761060642,58.89%,52.00%,52.00%,2024-12-10 19:57:05,132.45749497413635
train,10,306.4030993513085,60.22%,51.00%,52.00%,2024-12-10 19:57:20,147.6515235900879
train,11,304.8506890079487,61.56%,51.00%,52.00%,2024-12-10 19:57:34,161.50743556022644
train,12,303.25027706893104,62.44%,53.00%,53.00%,2024-12-10 19:57:48,175.49699592590332
train,13,301.6979106734252,63.11%,55.00%,55.00%,2024-12-10 19:58:01,189.06243133544922
train,14,300.1992232463499,63.78%,55.00%,55.00%,2024-12-10 19:58:15,202.50199937820435
train,15,298.8142509643471,64.00%,57.00%,57.00%,2024-12-10 19:58:27,214.8534119129181
train,16,297.51161245145147,64.22%,57.00%,57.00%,2024-12-10 19:58:40,227.60195136070251
train,17,296.35904964360503,64.44%,57.00%,57.00%,2024-12-10 19:58:52,239.9543080329895
train,18,295.3563502069032,64.89%,58.00%,58.00%,2024-12-10 19:59:05,252.90823650360107
train,19,294.5177151522389,65.11%,58.00%,58.00%,2024-12-10 19:59:19,266.2711627483368
train,20,293.77175827390624,65.56%,59.00%,59.00%,2024-12-10 19:59:32,279.1491377353668
train,21,293.1817834240641,64.89%,57.00%,59.00%,2024-12-10 19:59:44,291.76027822494507
train,22,292.65747084412,65.11%,57.00%,59.00%,2024-12-10 19:59:57,304.2696101665497
train,23,292.2128830580802,64.67%,57.00%,59.00%,2024-12-10 20:00:09,316.89750385284424
train,24,291.8335033288239,64.22%,58.00%,59.00%,2024-12-10 20:00:23,330.6049077510834
train,25,291.5783387709363,64.67%,56.00%,59.00%,2024-12-10 20:00:36,343.38864493370056
train,26,291.3975434795516,64.00%,57.00%,59.00%,2024-12-10 20:00:48,355.98184728622437
train,27,291.4587966800746,64.44%,58.00%,59.00%,2024-12-10 20:01:01,368.49820923805237
train,28,291.1866444325649,64.44%,57.00%,59.00%,2024-12-10 20:01:14,381.12727212905884
train,29,291.33818077721105,63.56%,59.00%,59.00%,2024-12-10 20:01:27,394.8350179195404
train,30,293.75867095037887,61.33%,57.00%,59.00%,2024-12-10 20:01:40,407.9057433605194
train,31,294.406725326305,64.22%,57.00%,59.00%,2024-12-10 20:01:54,421.8026759624481
train,32,291.43983970861774,62.44%,59.00%,59.00%,2024-12-10 20:02:08,435.48782420158386
train,33,290.95661149296694,62.44%,58.00%,59.00%,2024-12-10 20:02:21,449.0375623703003
train,34,290.9279259256663,63.78%,60.00%,60.00%,2024-12-10 20:02:37,464.4160964488983
train,35,291.0234127531861,62.44%,56.00%,60.00%,2024-12-10 20:02:50,477.97819328308105
train,36,291.2234851611798,62.67%,57.00%,60.00%,2024-12-10 20:03:05,493.0174951553345
train,37,292.0412982008601,63.11%,57.00%,60.00%,2024-12-10 20:03:19,506.8861081600189
train,38,291.67672994429205,62.44%,56.00%,60.00%,2024-12-10 20:03:33,520.8076324462891
train,39,290.5718441158462,61.78%,60.00%,60.00%,2024-12-10 20:03:48,535.6461725234985
train,40,290.8454504174892,62.67%,58.00%,60.00%,2024-12-10 20:04:02,549.7159693241119
train,41,291.12976955656126,62.22%,56.00%,60.00%,2024-12-10 20:04:16,563.3310222625732
train,42,290.72723842303475,63.56%,61.00%,61.00%,2024-12-10 20:04:30,577.3720002174377
train,43,290.6795717346804,62.00%,59.00%,61.00%,2024-12-10 20:04:45,592.6607687473297
train,44,292.12074279741825,63.33%,61.00%,61.00%,2024-12-10 20:04:59,606.4592487812042
